nucleo,processo,vara,data,prioridades,dias
5ª CC,0000261-14.2026.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,06/05/2026,Prioridade Legal,13
5ª CC,0000298-13.2015.8.17.0100,1ª Vara Cível da Comarca de Abreu e Lima,29/04/2026,Sem prioridade,20
4ª CCJ,0000319-90.2021.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,15/04/2026,Prioridade Legal,34
5ª CC,0000579-36.2022.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,29/04/2026,Prioridade Legal,20
5ª CC,0000755-10.2025.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,15/05/2026,Prioridade Legal,4
4ª CCJ,0000907-29.2023.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,18/05/2026,Prioridade Legal,1
5ª CC,0001095-85.2024.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,14/05/2026,Prioridade Legal,5
4ª CCJ,0001095-95.2018.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,22/04/2026,Prioridade Legal,27
4ª CCJ,0001176-73.2020.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,13/04/2026,Sem prioridade,36
5ª CC,0001541-54.2025.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,29/04/2026,Prioridade Legal,20
5ª CC,0001567-52.2025.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,14/05/2026,Prioridade Legal,5
4ª CCJ,0001645-17.2023.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,18/05/2026,Sem prioridade,1
4ª CCJ,0001657-31.2023.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,18/05/2026,Prioridade Legal,1
4ª CCJ,0001736-78.2021.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,08/05/2026,Prioridade Legal,11
5ª CC,0002125-92.2023.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,19/05/2026,Super prioridade,0
4ª CCJ,0002138-62.2021.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,18/05/2026,Sem prioridade,1
4ª CCJ,0002768-50.2023.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,11/05/2026,Prioridade Legal,8
5ª CC,0002857-44.2021.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,06/05/2026,Prioridade Legal,13
5ª CC,0002923-19.2024.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,29/04/2026,Prioridade Legal,20
